"id","title","speech_title","speaker_name"
"Z9VovH1OWQc","Can AI Match the Human Brain? | Surya Ganguli | TED",NA,NA
"4GpNYaDkBcs","Love, Trust and Marketing in the Age of AI | Amaryllis Liampoti | TED",NA,NA
"xb0nLpdWttA","Do You Talk to Yourself? Here’s How to Harness Your Inner Voice | Ethan Kross | TED",NA,NA
"rHUJAlMa7qI","The High-Wire Act of Unlocking Clean Energy | Jason Huang | TED",NA,NA
"2JMuljrVrSI","Why Daylight Is the Secret to Great Sleep | Christine Blume | TED",NA,NA
"MG9oqntiJKg","AI Won’t Plateau — if We Give It Time To Think | Noam Brown | TED",NA,NA
"Y06CZUf3cm0","Natasha Rothwell: Embrace Your Main Character Energy | On the Spot",NA,NA
"gp_ChjQQPnU","The Unique Love Between Humans and Dogs | Elias Weiss Friedman | TED",NA,NA
"UoJPsI1N-54","6 Ways to Make Better Connections Online | Margaux Miller | TED",NA,NA
"cYa6QYGXqu4","Are We Alone in the Universe? We’re Close to Finding Out | Lisa Kaltenegger | TED",NA,NA
"BBHnLH98bNg","Spirituality for Sinners (w/ Nadia Bolz-Weber) | How to Be a Better Human, a TED Podcast",NA,NA
"yVq8r9w29DI","Climate Progress Isn’t a Sprint — It’s a Marathon | Greg De Temmerman | TED",NA,NA
"Cr6kzbIwxdU","How Digital Culture Is Reshaping Our Faces and Bodies | Elise Hu | TED",NA,NA
"4JlCcR3lumA","What if AI Could Spot Your Lies? | Riccardo Loconte | TED",NA,NA
"71dsyj5pWEo","A Bold New Chapter for TED | Chris Anderson in conversation with Jay Herratti and Anna Verghese",NA,NA
"CPszftsUGVM","Is Perfectionism Just Procrastination in Disguise? | Jon Youshaei | TED",NA,NA
"rsL4vztsChc","TED Explores: Food for the Future | TED Countdown",NA,NA
"MsKU2BY6yHQ","Can Salad Dressing Transform Capitalism? | Alex Amouyel | TED",NA,NA
"xNWZrR3sDfQ","Why Body Language Is the Key to Self-Expression — and Hot Selfies | David Suh | TED",NA,NA
"9ILMJYAusa0","Why Do Some Bodies Respond Differently to Disease? | Erika Moore | TED",NA,NA
"MD4W_e3dJPs","How AI Will Answer Questions We Haven’t Thought to Ask | Aravind Srinivas | TED",NA,NA
"MQD0RKYcR6c","Confessions of a Recovering People Pleaser | Baron Ryan | TED",NA,NA
"ZmNpeXTj2c4","The Secret to Telling a Great Story — in Less Than 60 Seconds | Jenny Hoyos | TED",NA,NA
"okSG9QaqY1o","How AI Is Decoding Ancient Scrolls | Julian Schilliger and Youssef Nader | TED",NA,NA
"xDDfUWic4CI","Throwing Good Parties and Building Community (w/ Priya Parker) | How to Be a Better Human",NA,NA
"CrEhGIBCAPU","How to Turn Setbacks into Success | Amy Shoenthal | TED",NA,NA
"yHGRBTZI6w0","The Art of Marketing — for Good | Raja Rajamannar | TED",NA,NA
"6mh92_lU0W4","How Distributed Work Can Unlock Your Potential | Avani Prabhakar | TED",NA,NA
"BsVhgta2WAo","Solar Energy Is Even Cheaper Than You Think | Jenny Chase | TED",NA,NA
"HSgQHH2YBxw","Does Your Heartbeat Shape Your Sense of Time? | Irena Arslanova | TED",NA,NA
"KEz7EZcfVts","I’m a Conservative — and I Care About the Climate, Too | Danielle Butcher Franz | TED",NA,NA
"-w4JrIxFZRA","Can AI Companions Help Heal Loneliness? | Eugenia Kuyda | TED",NA,NA
"ros3INVOQEU","How AI Can Bridge the Deaf and Hearing Worlds | Adam Munder | TED",NA,NA
"AbpNlshqtJc","How to feed 10 billion people — without destroying nature | Andy Jarvis | TED",NA,NA
"ojZav0u29B4","A Hospital in the Cloud Bringing Health Care Anywhere in the World | Mohamed Aburawi | TED",NA,NA
"cfKFbh8LPvU","How to Reclaim Your Life From Work | Simone Stolzoff | TED",NA,NA
"V56A6SHbI1Q","3 Reasons to Take Risks Like a Teenager | Adriana Galván | TED",NA,NA
"I5oeY5O5oJI","The Potential US TikTok Ban — and What’s at Stake | Clay Shirky | TED",NA,NA
"Ne-1bg2Ifn4","The Absurd Inequality of Climate Work — and How to Fix It | Joshua Amponsem | TED",NA,NA
"GTmQF2ABid0","Why Violence Is Rising With Global Temperatures | Peter Schwartzstein | TED",NA,NA
"U509hHthip8","The Biggest Global Risks for 2025 | TED Explains the World with Ian Bremmer",NA,NA
"vgigO1XgyRo","The Mind-Reading Potential of AI | Chin-Teng Lin | TED",NA,NA
"UG1eW81y7Ac","Xiuhtezcatl Performing ""Careful"" / ""Veils"" at TED2024",NA,NA
"I2s4msDXNgw","Can You Love Your Body — and Still Want To Change It? | Gabriella Lascano | TED",NA,NA
"_hZseWeLSFY","How Community-Led Research Drives Social Change | Monica Malta | TED",NA,NA
"GVdzOw_8pFE","What Does Poverty Look Like on a Plate? | Huiyi Lin | TED",NA,NA
"fHDy7Jzp-5I","How to Make Big Decisions in Challenging Circumstances | Jonathan Reimer | TED",NA,NA
"lY7e3CDPY4g","What’s Our Relationship to AI? It’s Complicated | AC Coppens, Kasley Killam, Apolinário Passos | TED",NA,NA
"0Vjh5d5rez0","Want to Give a Great Presentation? Use Ugly Sketches | Martin J. Eppler | TED",NA,NA
"hg_xzFJ4ZAA","4 Steps to Unlock Your Kid's Math Potential | Shalinee Sharma | TED",NA,NA
"hKx4HGfNgCg","Break the Bad News Bubble (Part 2) | Angus Hervey | TED",NA,NA
"lkMV6SxilXc","How to Protect Your Emotional Health During the Holidays | Guy Winch | TED",NA,NA
"QsXfQW9LrjA","The Greatest Show on Earth — for Kids Who Need It Most | Sahba Aminikia | TED",NA,NA
"p-Yd4PdmYzg","Why Your Body Fights Weight Loss | Katherine Saunders | TED",NA,NA
"E7hwoDHfU28","How a Deepfake Almost Ruined My Political Career | Cara Hunter | TED",NA,NA
"qsnbJZQAD-k","The Song That Sparked a Movement in Afghanistan | Nila Ibrahimi | TED",NA,NA
"kZeVIJqW1ts","The Real-World Danger of Online Myths | Vidhya Ramalingam | TED",NA,NA
"oD50pUZFEbo","How Art Transforms Brokenness Into Beauty | Lily Yeh | TED",NA,NA
"amtBUvkweEA","Forget the Corporate Ladder — Winners Take Risks | Molly Graham | TED",NA,NA
"sLapoMlHOeY","How Your Childhood Toys Tell Your Life Story | Chris Byrne | TED",NA,NA
"bsxJVgb6Kls","The Trick to Powerful Public Speaking | Lawrence Bernstein | TED",NA,NA
"YL5mJAGGsjY","This Refrigerator Is Saving Lives | Norah Magero | TED",NA,NA
"Fq0jpQrTEFs","How to Hide “Science Vegetables” in Viral Videos, with @MarkRober Rober | ReThinking with Adam Grant",NA,NA
"0jBhEPtC0fk","Our Savory, Spicy, Significant Relationship With Food | June Jo Lee | TED",NA,NA
"uq-deRtvedI","How AI Is Saving Billions of Years of Human Research Time | Max Jaderberg | TED",NA,NA
"nT1MYWOFgJo","Can Curiosity Heal Division? | Scott Shigeoka | TED",NA,NA
"pMgqSJP9dN8","Can AI Master the Art of Humor? | Bob Mankoff | TED",NA,NA
"GRgqbsP_-uw","Why Do You Love Your Favorite Songs? | Scarlet Keys | TED",NA,NA
"YbnS39GAcQo","Your Relationship Expectations Could Be Holding You Back | Stephanie R. Yates-Anyabwile | TED",NA,NA
"VEgltjydwZ8","The Foods Humanity Forgot — and How We’re Bringing Them Back | Helianti Hilman | TED",NA,NA
"g3AU44HfpfE","How I Imitate Nature’s Voices | Snow Raven | TED",NA,NA
"do27uAjfKbg","How to Be an “Apocalyptic Optimist” | Dana R. Fisher | TED",NA,NA
"Nh1QvWm0BrQ","Ask Dumb Questions, Embrace Mistakes — and Other Lessons on Innovation | Dave Raggio | TED",NA,NA
"dDKozwjlt-Q","A Mouse With Two Dads — and a New Frontier for Biology | Katsuhiko Hayashi | TED",NA,NA
"SoI9-PP5Tmk","Can Europe Win the Age of AI? | Thomas Dohmke | TED",NA,NA
"dzBj5rRmTv8","K-Pop, Cutting-Edge Tech and Other Ways Asia Is Shaping the World | Neeraj Aggarwal | TED",NA,NA
"HLwvyD1MbSM","A Menu of Foods We Might Lose Forever | Sam Kass | TED",NA,NA
"Tq6_7XyCyyI","Is AI Progress Stuck? | Jennifer Golbeck | TED",NA,NA
"wRa3sycERxA","Why Friendship Can Be Just As Meaningful as Romantic Love | Rhaina Cohen | TED",NA,NA
"UFNRxEmoMaw","Why Spending Smarter Beats Bigger Budgets | Karthik Muralidharan | TED",NA,NA
"1Bj-zXkVi68","Yo! Have You Ever Seen a Yo-Yo Dance Like This? | Shu Takada | TED",NA,NA
"YKufhUZRJ1E","Listen to Your Intuition — It Can Help You Navigate the Future | Hrund Gunnsteinsdóttir | TED",NA,NA
"44lbeIb6TjA","From Prison to Purpose Through Wildland Firefighting | Royal Ramey | TED",NA,NA
"MMaWtHnyP04","Luxury, Not Landfill — the Waste-Free Future of Fashion | Joon Silverstein | TED",NA,NA
"VuJbzKpbIVk","Trump’s 2024 Election Win — and What’s Next | TED Explains the World with Ian Bremmer",NA,NA
"vh8q8ySORFs","Why You Think You Look Bad in Photos | Teri Hofford | TED",NA,NA
"hHYe3O7_TUA","Democracy Is Being Tested. Citizen Assemblies Can Help | Ketakandriana Rafitoson | TED",NA,NA
"PYRFxrLt30A","5 Ways Leaders Can Adapt to Shifting Geopolitics | Nikolaus S. Lang | TED",NA,NA
"OjuYFNR1aWo","How AI Could Hack Democracy | Lawrence Lessig | TED",NA,NA
"YP-iH-7WRLI","How to Defend Democracy — and Fight Autocracy | Leopoldo Lopez | TED",NA,NA
"2LkDU0iKaro","Networking Doesn’t Have to Feel Gross | Daniel Hallak | TED",NA,NA
"HDHbjYNBwXI","Poetry and Music That Reaches Across the Digital Void | Elle Cordova | TED",NA,NA
"RmXrwKydM9k","The Tipping Point I Got Wrong | Malcolm Gladwell | TED",NA,NA
"Efp1EiSwDO4","A Food System That Fights Climate Change — Instead of Causing It | Gonzalo Muñoz | TED",NA,NA
