"id","title","speech_title","speaker_name"
"Z9VovH1OWQc","Can AI Match the Human Brain? | Surya Ganguli | TED","Can AI Match the Human Brain?","Surya Ganguli"
"4GpNYaDkBcs","Love, Trust and Marketing in the Age of AI | Amaryllis Liampoti | TED","Love, Trust and Marketing in the Age of AI","Amaryllis Liampoti"
"xb0nLpdWttA","Do You Talk to Yourself? Here’s How to Harness Your Inner Voice | Ethan Kross | TED","Do You Talk to Yourself? Here’s How to Harness Your Inner Voice","Ethan Kross"
"rHUJAlMa7qI","The High-Wire Act of Unlocking Clean Energy | Jason Huang | TED","The High-Wire Act of Unlocking Clean Energy","Jason Huang"
"2JMuljrVrSI","Why Daylight Is the Secret to Great Sleep | Christine Blume | TED","Why Daylight Is the Secret to Great Sleep","Christine Blume"
"MG9oqntiJKg","AI Won’t Plateau — if We Give It Time To Think | Noam Brown | TED","AI Won’t Plateau — if We Give It Time To Think","Noam Brown"
"Y06CZUf3cm0","Natasha Rothwell: Embrace Your Main Character Energy | On the Spot","Natasha Rothwell: Embrace Your Main Character Energy","On the Spot"
"gp_ChjQQPnU","The Unique Love Between Humans and Dogs | Elias Weiss Friedman | TED","The Unique Love Between Humans and Dogs","Elias Weiss Friedman"
"UoJPsI1N-54","6 Ways to Make Better Connections Online | Margaux Miller | TED","6 Ways to Make Better Connections Online","Margaux Miller"
"cYa6QYGXqu4","Are We Alone in the Universe? We’re Close to Finding Out | Lisa Kaltenegger | TED","Are We Alone in the Universe? We’re Close to Finding Out","Lisa Kaltenegger"
"yVq8r9w29DI","Climate Progress Isn’t a Sprint — It’s a Marathon | Greg De Temmerman | TED","Climate Progress Isn’t a Sprint — It’s a Marathon","Greg De Temmerman"
"Cr6kzbIwxdU","How Digital Culture Is Reshaping Our Faces and Bodies | Elise Hu | TED","How Digital Culture Is Reshaping Our Faces and Bodies","Elise Hu"
"4JlCcR3lumA","What if AI Could Spot Your Lies? | Riccardo Loconte | TED","What if AI Could Spot Your Lies?","Riccardo Loconte"
"71dsyj5pWEo","A Bold New Chapter for TED | Chris Anderson in conversation with Jay Herratti and Anna Verghese","A Bold New Chapter for TED","Chris Anderson in conversation with Jay Herratti and Anna Verghese"
"CPszftsUGVM","Is Perfectionism Just Procrastination in Disguise? | Jon Youshaei | TED","Is Perfectionism Just Procrastination in Disguise?","Jon Youshaei"
"MsKU2BY6yHQ","Can Salad Dressing Transform Capitalism? | Alex Amouyel | TED","Can Salad Dressing Transform Capitalism?","Alex Amouyel"
"xNWZrR3sDfQ","Why Body Language Is the Key to Self-Expression — and Hot Selfies | David Suh | TED","Why Body Language Is the Key to Self-Expression — and Hot Selfies","David Suh"
"9ILMJYAusa0","Why Do Some Bodies Respond Differently to Disease? | Erika Moore | TED","Why Do Some Bodies Respond Differently to Disease?","Erika Moore"
"MD4W_e3dJPs","How AI Will Answer Questions We Haven’t Thought to Ask | Aravind Srinivas | TED","How AI Will Answer Questions We Haven’t Thought to Ask","Aravind Srinivas"
"MQD0RKYcR6c","Confessions of a Recovering People Pleaser | Baron Ryan | TED","Confessions of a Recovering People Pleaser","Baron Ryan"
"ZmNpeXTj2c4","The Secret to Telling a Great Story — in Less Than 60 Seconds | Jenny Hoyos | TED","The Secret to Telling a Great Story — in Less Than 60 Seconds","Jenny Hoyos"
"okSG9QaqY1o","How AI Is Decoding Ancient Scrolls | Julian Schilliger and Youssef Nader | TED","How AI Is Decoding Ancient Scrolls","Julian Schilliger and Youssef Nader"
"xDDfUWic4CI","Throwing Good Parties and Building Community (w/ Priya Parker) | How to Be a Better Human","Throwing Good Parties and Building Community (w/ Priya Parker)","How to Be a Better Human"
"CrEhGIBCAPU","How to Turn Setbacks into Success | Amy Shoenthal | TED","How to Turn Setbacks into Success","Amy Shoenthal"
"yHGRBTZI6w0","The Art of Marketing — for Good | Raja Rajamannar | TED","The Art of Marketing — for Good","Raja Rajamannar"
"6mh92_lU0W4","How Distributed Work Can Unlock Your Potential | Avani Prabhakar | TED","How Distributed Work Can Unlock Your Potential","Avani Prabhakar"
"BsVhgta2WAo","Solar Energy Is Even Cheaper Than You Think | Jenny Chase | TED","Solar Energy Is Even Cheaper Than You Think","Jenny Chase"
"HSgQHH2YBxw","Does Your Heartbeat Shape Your Sense of Time? | Irena Arslanova | TED","Does Your Heartbeat Shape Your Sense of Time?","Irena Arslanova"
"KEz7EZcfVts","I’m a Conservative — and I Care About the Climate, Too | Danielle Butcher Franz | TED","I’m a Conservative — and I Care About the Climate, Too","Danielle Butcher Franz"
"-w4JrIxFZRA","Can AI Companions Help Heal Loneliness? | Eugenia Kuyda | TED","Can AI Companions Help Heal Loneliness?","Eugenia Kuyda"
"ros3INVOQEU","How AI Can Bridge the Deaf and Hearing Worlds | Adam Munder | TED","How AI Can Bridge the Deaf and Hearing Worlds","Adam Munder"
"AbpNlshqtJc","How to feed 10 billion people — without destroying nature | Andy Jarvis | TED","How to feed 10 billion people — without destroying nature","Andy Jarvis"
